Identifiant,Artiste, Album, Annee, Genre, Nombre_Titres
1,Gogo Penguin, 2.0,2014,Jazz,10
2,Tigran Hamasyan, A Fable,2011, Jazz,12
3,Keith Jarrett, After The Fall,2018, Jazz,4
4,Tigran Hamasyan, An Ancient Observer,2017, Jazz,10
5,Erik Truffaz, Arkhangelsk,2007,Jazz,15
6,Miles Davis, At Fillmore: Live at Fillmore East,1997, Jazz,17
7,Nils Petter Molvaer, Baboon Moon,2012, Nu Jazz,9
8,Miles Davis, Bitches Brew,1999, Jazz,7
9,Marcus Miller, Free,2007,,10
10,Nik Bartsch's Ronin, Holon,2013,,6
11,Portico Quartet, Knee-deep in the north sea,2010,,13
12,Renaud Garcia-Fons, La Linea del Sur,2009,,10
13,Anouar Brahem, Le voyage de Sahar,2006, Jazz,13
14,Esbjorn Svensson Trio, Leucocyte,2008, Jazz,10
15,Lars Danielsson, Liberetto,2012,,10
16,Hadouk Trio, Live a FIP,2003,,15
17,Lee Konitz, Live At The Village Vanguard,2010, Jazz,7
18,Macha Gharibian, Mars,2013,,10
19,Guillaume Perret, Open Me,2014,,9
20,Olivier Messiaen, Quatuor pour la fin du temps,2017,,8
21,Tingvall Trio, Skagerrak,2006,,14
22,Jimmy Smith, The Cat,1964, Jazz,8
23,Keith Jarrett, The Koln Concert,2007,,4
24,Laurent de Wilde, The Present,2012,,8
25,Manu Katche, Third Round,2009,,11
26,Ulf Wakenius, Vagabond,2012, Jazz,11
27,Joshua Redman, Walking Shadows,2013,,12
28,ABBA, ABBA Gold,1992, Pop,19
29,Beyonce, Beyonce,2013, RnB,3
30,Metallica, Black Album,1991, Hard Rock,
31,Deep Purple, Burn ,1974, Hard Rock,
32,Rossini, Guillaume Tell (Ouverture),1829, Classique,
33,The Beatles, Help !,1965, Pop,
34,The Rolling Stones, It's only Rock'n'Roll,1974, Rock,
35,ColdPlay, Kaleidoscope,2017, Rock,
36,Black M, Les Yeux plus gros que le monde,2014, Rap,
37,Celine Dion, Let's talk about love,1997, Pop,
38,Marwa Loud, Loud,2018, RnB,
39,Britney Spears, Oups !... I dit it again,2000, Pop,
40,Haendel, Sarabande,1733, Classique,
2,Tigran Hamasyan, A Fable,2011, Jazz,12
42,Joshua Redman, Walking Shadows,2013,,12
43,Macha Gharibian, Mars,2013,,10
44,Guillaume Perret, Open Me,2014,,9
45,Olivier Messiaen, Quatuor pour la fin du temps,2017,,8
46,Tingvall Trio, Skagerrak,2006,,14
47,Macha Gharibian, Mars,2013,,10
48,Deep Purple, Burn ,1974, Hard Rock,
49,Erik Truffaz, Arkhangelsk,2007,Jazz,15
